Company,Industry,Key_Strategies,Key_Points,Pain_Points,Hooks,CTA,Sentiment,Ads_Type,Ad_Link,YouTube_Link
Zepto,Grocery,"10-minute delivery, affordability",Instant grocery at best price,"Delivery delays, pricing competition", Groceries in 10 mins!”,Order Now,Urgency,Video Ad,https://www.zepto.in,https://www.youtube.com/watch?v=XXXXX
Blinkit,Grocery,Ultra-fast grocery delivery,Essentials delivered fast,High delivery cost, Everything in minutes!”,Shop Now,Convenience,Video Ad,https://www.blinkit.com,https://www.youtube.com/watch?v=XXXXX
Instamart,Grocery,Partnering with local stores,Wide range of products,Service availability, Get it instantly!”,Start Shopping,Speed,Display Ad,https://www.swiggy.com/instamart,https://www.youtube.com/watch?v=XXXXX
BigBasket,Grocery,"Subscription model, discounts",Bulk grocery shopping,Price sensitivity, Stock up & save!”,Subscribe & Save,Affordability,Social Media Ad,https://www.bigbasket.com,https://www.youtube.com/watch?v=XXXXX
Amazon Fresh,Grocery,"One-day delivery, Prime offers",Best deals on groceries,Limited regional availability," Your daily essentials, delivered!”",Try Prime Now,Trust,Video Ad,https://www.amazon.in/fresh,https://www.youtube.com/watch?v=XXXXX
Walmart Grocery,Grocery,"Everyday low prices, bulk discounts",Affordable grocery shopping,Limited online inventory," Save more, live better!”",Start Shopping,Affordability,Video Ad,https://www.walmart.com/grocery,https://www.youtube.com/watch?v=XXXXX
Target Grocery,Grocery,In-store & online integration,Convenient pickup & delivery,Stock issues," Fresh & fast, just for you!”",Shop Now,Convenience,Social Media Ad,https://www.target.com/c/grocery/-/N-5xt1a,https://www.youtube.com/watch?v=XXXXX
Kroger,Grocery,"Loyalty programs, private labels",Exclusive discounts for members,Delivery wait times, More savings with every purchase!”,Join Now,Loyalty,Email Ad,https://www.kroger.com,https://www.youtube.com/watch?v=XXXXX
FreshDirect,Grocery,Farm-to-door freshness,Organic & locally sourced items,Higher prices," Eat fresh, live healthy!”",Try Now,Health-conscious,Video Ad,https://www.freshdirect.com,https://www.youtube.com/watch?v=XXXXX
Shipt,Grocery,"Same-day delivery, membership perks",Convenience of doorstep delivery,Membership fees, Groceries on your schedule!”,Subscribe Now,Ease,Social Media Ad,https://www.shipt.com,https://www.youtube.com/watch?v=XXXXX
Spencer's,Grocery,"Omnichannel retail, in-store & online",Wide variety of grocery products,Higher price than local stores," Your neighborhood grocery store, now online!”",Shop Now,Convenience,Social Media Ad,https://www.spencers.in,https://www.youtube.com/watch?v=XXXXX
Nature's Basket,Grocery,Premium and organic products,Exotic and gourmet grocery,Higher pricing, Indulge in the finest organic & gourmet food!”,Explore Now,Luxury,Video Ad,https://www.naturesbasket.co.in,https://www.youtube.com/watch?v=XXXXX
